CountryName,HappinessScore,GDP,LifeExpectancy,Equality,Corruption,EducationExpenditure,TouristsOutbound,TouristsInbound,PM25AirPollution,Population
Armenia,4.375999928,"3,937",74.78,,,"293,952,750","1,482,000","1,495,000",100.0,"2,930,450"
Kosovo,5.278999805,"3,957",71.95,3.5,3.000,,,,,"1,830,700"
Georgia,4.285999775,"4,045",73.44,,,"251,121,359","3,851,000","6,483,000",100.0,"3,728,004"
Algeria,5.872000217,"4,055",76.29,,,"7,370,872,740","5,058,000","2,451,000",100.0,"41,318,142"
Sri Lanka,4.440000057,"4,074",75.49,,,"1,962,027,037","1,439,000","2,116,400",45.5,"21,444,000"
Angola,3.795000076,"4,100",61.81,,,"4,212,600,000",,"261,000",100.0,"29,784,193"
Jordan,5.335999966,"4,130",74.48,,,"1,361,037,665","1,592,000","3,843,500",100.0,"9,702,353"
Azerbaijan,5.234000206,"4,135",72.12,,,"1,188,084,302","4,109,000","2,454,000",100.0,"9,854,033"
Guatemala,6.453999996,"4,471",73.65,,,"2,020,678,688","1,328,000","2,113,000",100.0,"16,913,503"
Albania,4.644000053,"4,538",78.50,,,"468,667,101","5,186,000","4,643,000",100.0,"2,873,457"
Belize,5.955999851,"4,971",70.59,,,"109,089,745",,"427,000",100.0,"374,681"
Iraq,4.497000217,"5,018",70.04,,,"8,648,000,000",,,100.0,"38,274,618"
Jamaica,5.31099987,"5,114",76.10,,,"756,931,502",,"2,353,000",100.0,"2,890,299"
Bosnia and Herzegovina,5.18200016,"5,148",77.09,,,,,"923,000",100.0,"3,507,017"
Namibia,4.573999882,"5,231",64.85,,,"376,013,672",,"1,499,000",100.0,"2,533,794"
North Macedonia,5.809999943,"5,415",75.85,,,"354,050,383",,"631,000",100.0,"2,083,160"
"Iran, Islamic Rep.",4.691999912,"5,594",76.15,,,"16,475,991,398","10,543,000","4,867,000",100.0,"81,162,788"
Belarus,5.568999767,"5,733",74.13,,,"2,476,983,500","706,000","11,060,200",99.9,"9,498,264"
Paraguay,5.493000031,"5,824",73.21,,,"1,701,335,399","1,548,000","1,584,000",99.1,"6,811,297"
Serbia,5.394999981,"5,901",76.09,,,"1,530,949,170",,"1,497,000",100.0,"7,020,858"
Libya,5.525000095,"5,978",72.11,,,"828,136,907",,,100.0,"6,374,616"
South Africa,4.828999996,"6,151",63.40,,,"20,317,424,683",,"10,285,000",100.0,"56,717,156"
Ecuador,6.007999897,"6,273",76.55,,,"4,008,600,000","1,547,000","1,608,000",98.3,"16,624,858"
Colombia,6.356999874,"6,409",74.56,,,"10,520,523,948","4,017,000","4,113,000",92.1,"49,065,615"
Peru,5.715000153,"6,572",75.22,,,"6,782,894,280","2,875,000","4,032,000",100.0,"32,165,485"
Turkmenistan,5.822000027,"6,587",67.96,,,"843,373,029",,,100.0,"5,758,075"
Thailand,6.423999786,"6,595",75.50,,,"18,178,256,537","8,963,000","35,592,000",100.0,"69,037,513"
Dominican Republic,5.230000019,"7,052",74.05,,,"1,825,020,903","522,000","6,188,000",99.9,"10,766,998"
Gabon,4.465000153,"7,414",66.48,,,"430,619,211",,,100.0,"2,025,137"
Botswana,3.766000032,"7,596",67.62,,,"1,595,148,288",,,100.0,"2,291,661"
Montenegro,5.236999989,"7,784",77.27,,,,,"1,877,000",100.0,"622,373"
Bulgaria,4.714000225,"8,228",74.81,,,"2,271,188,771","6,228,000","8,883,000",99.9,"7,075,947"
Lebanon,5.224999905,"8,809",79.76,,,"1,114,571,339",,"1,857,000",100.0,"6,082,357"
China,5.272999763,"8,827",76.41,,,"218,380,000,000","143,035,000","60,740,000",100.0,"1,386,395,000"
Mexico,6.578000069,"8,910",77.31,,,"58,383,791,627","19,067,000","39,291,000",99.7,"129,163,276"
Kazakhstan,5.818999767,"9,030",72.95,,,"4,577,590,374",,"7,701,000",87.4,"18,037,776"
Brazil,6.635000229,"9,812",75.72,,,"123,843,332,762","9,458,000","6,589,000",68.1,"209,288,278"
Malaysia,6.084000111,"9,952",75.45,,,"14,004,404,787",,"25,948,000",90.5,"31,624,264"
Mauritius,5.629000187,"10,491",74.51,,,"641,024,344","283,000","1,342,000",100.0,"1,264,613"
Turkey,5.5,"10,546",76.01,,,"31,904,864,189","8,887,000","37,601,000",100.0,"80,745,020"
Russian Federation,5.962999821,"10,749",72.12,,,"55,818,992,224","39,629,000","24,390,000",91.6,"144,496,740"
Romania,5.824999809,"10,819",75.31,,,"5,788,600,000","19,953,000","10,926,000",98.0,"19,583,986"
Costa Rica,7.078999996,"11,677",80.03,,,"4,070,255,485","1,150,000","2,960,000",99.7,"4,905,769"
Croatia,5.293000221,"13,387",77.83,,,"2,442,835,384","1,923,000","15,593,000",99.8,"4,124,531"
Poland,5.97300005,"13,864",77.85,,,"23,348,932,299","46,700,000","18,258,000",100.0,"37,974,826"
Hungary,5.323999882,"14,279",76.06,,,"5,991,431,057","20,297,000","5,650,000",100.0,"9,787,966"
Argentina,6.598999977,"14,398",76.74,,,"31,545,870,254","12,258,000","6,720,000",93.9,"44,271,041"
Panama,6.452000141,"15,196",78.20,,,"1,581,371,584","917,000","1,843,000",71.6,"4,098,587"
Chile,6.65199995,"15,346",79.73,,,"12,156,200,000","3,620,000","6,450,000",97.7,"18,054,726"
Latvia,5.849999905,"15,685",74.68,,,"1,369,991,697","2,055,000","1,949,000",89.0,"1,942,248"
Trinidad and Tobago,6.168000221,"16,126",70.78,,,"612,476,585",,"395,000",100.0,"1,369,125"
Uruguay,6.453999996,"16,246",77.65,,,"2,341,100,056","1,789,000","3,674,000",22.4,"3,456,750"
Lithuania,5.90199995,"16,810",74.67,,,,"2,032,000","2,523,000",96.0,"2,828,403"
Slovak Republic,6.09800005,"17,579",77.17,,,"3,797,888,736","3,870,000","2,162,000",100.0,"5,439,232"
Greece,5.227000237,"18,885",81.39,,,"6,293,000,000","7,685,000","27,194,000",100.0,"10,753,531"
Estonia,5.611000061,"20,200",77.64,,,"1,274,758,504","1,279,000","3,245,000",0.0,"1,317,384"
